<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.03.04	00:33:00	1.08976	1.08996	1.08961	1.08985	127	0	10
2024.03.04	00:34:00	1.08985	1.08985	1.08976	1.08980	75	0	10
2024.03.04	00:35:00	1.08980	1.08989	1.08977	1.08987	13	0	9
2024.03.04	00:36:00	1.08987	1.09003	1.08982	1.09001	14	0	11
2024.03.04	00:37:00	1.09001	1.09016	1.08993	1.09013	31	0	12
2024.03.04	00:38:00	1.09013	1.09027	1.09008	1.09021	65	0	11
2024.03.04	00:39:00	1.09021	1.09028	1.09013	1.09015	170	0	9
2024.03.04	00:40:00	1.09015	1.09022	1.08999	1.08999	69	0	10
2024.03.04	00:41:00	1.08999	1.08999	1.08987	1.08991	140	0	10
2024.03.04	00:42:00	1.08991	1.08992	1.08984	1.08989	74	0	9
2024.03.04	00:43:00	1.08989	1.08996	1.08975	1.08991	122	0	12
2024.03.04	00:44:00	1.08991	1.09022	1.08988	1.09021	66	0	10
2024.03.04	00:45:00	1.09021	1.09028	1.09017	1.09027	167	0	11
2024.03.04	00:46:00	1.09027	1.09040	1.09021	1.09034	29	0	12
2024.03.04	00:47:00	1.09034	1.09038	1.09012	1.09016	59	0	10
2024.03.04	00:48:00	1.09016	1.09030	1.09014	1.09026	109	0	10
2024.03.04	00:49:00	1.09026	1.09038	1.09014	1.09022	48	0	9
2024.03.04	00:50:00	1.09022	1.09025	1.09016	1.09025	175	0	9
2024.03.04	00:51:00	1.09025	1.09031	1.09013	1.09018	129	0	12
2024.03.04	00:52:00	1.09018	1.09025	1.09017	1.09024	174	0	8
2024.03.04	00:53:00	1.09024	1.09038	1.09021	1.09023	119	0	9
2024.03.04	00:54:00	1.09023	1.09031	1.09023	1.09027	69	0	11
2024.03.04	00:55:00	1.09027	1.09040	1.09020	1.09037	41	0	8
2024.03.04	00:56:00	1.09037	1.09049	1.09029	1.09046	140	0	10
2024.03.04	00:57:00	1.09046	1.09056	1.09035	1.09050	41	0	11
2024.03.04	00:58:00	1.09050	1.09064	1.09043	1.09058	163	0	8
2024.03.04	00:59:00	1.09058	1.09059	1.09040	1.09043	44	0	10
2024.03.04	01:00:00	1.09043	1.09045	1.09031	1.09039	143	0	11
2024.03.04	01:01:00	1.09039	1.09056	1.09038	1.09046	151	0	8
2024.03.04	01:02:00	1.09046	1.09051	1.09045	1.09046	151	0	8
2024.03.04	01:03:00	1.09046	1.09047	1.09019	1.09032	121	0	10
2024.03.04	01:04:00	1.09032	1.09037	1.09012	1.09021	123	0	11
2024.03.04	01:05:00	1.09021	1.09028	1.09019	1.09020	71	0	12
2024.03.04	01:06:00	1.09020	1.09022	1.08984	1.08996	59	0	10
2024.03.04	01:07:00	1.08996	1.08998	1.08982	1.08984	121	0	10
2024.03.04	01:08:00	1.08984	1.08994	1.08976	1.08992	39	0	9
2024.03.04	01:09:00	1.08992	1.09008	1.08989	1.09000	101	0	9
2024.03.04	01:10:00	1.09000	1.09003	1.08990	1.09000	32	0	10
2024.03.04	01:11:00	1.09000	1.09007	1.08998	1.09004	178	0	9
2024.03.04	01:12:00	1.09004	1.09016	1.08999	1.09011	58	0	10
2024.03.04	01:13:00	1.09011	1.09015	1.09001	1.09010	12	0	10
2024.03.04	01:14:00	1.09010	1.09012	1.08993	1.08998	167	0	10
2024.03.04	01:15:00	1.08998	1.09001	1.08998	1.08999	66	0	8
2024.03.04	01:16:00	1.08999	1.09009	1.08996	1.09007	41	0	10
2024.03.04	01:17:00	1.09007	1.09012	1.08996	1.09003	74	0	10
2024.03.04	01:18:00	1.09003	1.09030	1.08995	1.09019	30	0	10
2024.03.04	01:19:00	1.09019	1.09028	1.09008	1.09011	116	0	8
2024.03.04	01:20:00	1.09011	1.09012	1.09007	1.09011	163	0	9
2024.03.04	01:21:00	1.09011	1.09027	1.09006	1.09016	124	0	8
2024.03.04	01:22:00	1.09016	1.09022	1.09004	1.09008	41	0	8
2024.03.04	01:23:00	1.09008	1.09012	1.09003	1.09004	36	0	9
2024.03.04	01:24:00	1.09004	1.09008	1.08995	1.09003	143	0	9
2024.03.04	01:25:00	1.09003	1.09005	1.08989	1.08996	53	0	10
2024.03.04	01:26:00	1.08996	1.08997	1.08995	1.08995	137	0	11
2024.03.04	01:27:00	1.08995	1.09004	1.08994	1.08997	70	0	10
2024.03.04	01:28:00	1.08997	1.09021	1.08991	1.09014	108	0	11
2024.03.04	01:29:00	1.09014	1.09021	1.09010	1.09020	66	0	10
2024.03.04	01:30:00	1.09020	1.09040	1.09020	1.09028	96	0	8
2024.03.04	01:31:00	1.09028	1.09029	1.09020	1.09021	168	0	12
2024.03.04	01:32:00	1.09021	1.09034	1.09013	1.09030	105	0	11
2024.03.04	01:33:00	1.09030	1.09038	1.09026	1.09036	70	0	12
2024.03.04	01:34:00	1.09036	1.09042	1.09028	1.09032	75	0	10
2024.03.04	01:35:00	1.09032	1.09059	1.09028	1.09043	148	0	10
2024.03.04	01:36:00	1.09043	1.09060	1.09041	1.09044	8	0	10
2024.03.04	01:37:00	1.09044	1.09059	1.09039	1.09054	136	0	12
2024.03.04	01:38:00	1.09054	1.09065	1.09049	1.09058	30	0	9
2024.03.04	01:39:00	1.09058	1.09059	1.09057	1.09058	13	0	10
2024.03.04	01:40:00	1.09058	1.09062	1.09049	1.09055	47	0	12
2024.03.04	01:41:00	1.09055	1.09063	1.09040	1.09047	160	0	10
2024.03.04	01:42:00	1.09047	1.09059	1.09042	1.09049	166	0	12
2024.03.04	01:43:00	1.09049	1.09056	1.09040	1.09049	139	0	12
2024.03.04	01:44:00	1.09049	1.09053	1.09019	1.09032	137	0	11
2024.03.04	01:45:00	1.09032	1.09038	1.09022	1.09031	157	0	12
2024.03.04	01:46:00	1.09031	1.09039	1.09023	1.09023	42	0	12
2024.03.04	01:47:00	1.09023	1.09028	1.09021	1.09026	123	0	11
2024.03.04	01:48:00	1.09026	1.09028	1.09022	1.09028	75	0	8
2024.03.04	01:49:00	1.09028	1.09030	1.09025	1.09026	136	0	11
2024.03.04	01:50:00	1.09026	1.09042	1.09026	1.09038	27	0	10
2024.03.04	01:51:00	1.09038	1.09039	1.09014	1.09024	67	0	12
2024.03.04	01:52:00	1.09024	1.09029	1.09015	1.09016	81	0	8
2024.03.04	01:53:00	1.09016	1.09022	1.09006	1.09012	27	0	11
2024.03.04	01:54:00	1.09012	1.09022	1.09012	1.09018	153	0	9
2024.03.04	01:55:00	1.09018	1.09020	1.09008	1.09008	76	0	12
2024.03.04	01:56:00	1.09008	1.09017	1.08999	1.09015	81	0	10
2024.03.04	01:57:00	1.09015	1.09026	1.09013	1.09016	148	0	9
2024.03.04	01:58:00	1.09016	1.09018	1.09009	1.09014	27	0	11
2024.03.04	01:59:00	1.09014	1.09022	1.09013	1.09016	76	0	10
2024.03.04	02:00:00	1.09016	1.09037	1.09014	1.09023	44	0	12
2024.03.04	02:01:00	1.09023	1.09053	1.09021	1.09038	41	0	11
2024.03.04	02:02:00	1.09038	1.09050	1.09031	1.09044	67	0	10
2024.03.04	02:03:00	1.09044	1.09050	1.09028	1.09032	14	0	9
2024.03.04	02:04:00	1.09032	1.09046	1.09027	1.09046	44	0	10
2024.03.04	02:05:00	1.09046	1.09052	1.09042	1.09049	92	0	8
2024.03.04	02:06:00	1.09049	1.09054	1.09033	1.09044	58	0	12
2024.03.04	02:07:00	1.09044	1.09071	1.09043	1.09061	72	0	10
2024.03.04	02:08:00	1.09061	1.09074	1.09059	1.09072	117	0	10
2024.03.04	02:09:00	1.09072	1.09075	1.09065	1.09069	21	0	12
2024.03.04	02:10:00	1.09069	1.09083	1.09063	1.09063	138	0	10
2024.03.04	02:11:00	1.09063	1.09074	1.09058	1.09072	117	0	8
2024.03.04	02:12:00	1.09072	1.09086	1.09060	1.09078	148	0	9
2024.03.04	02:13:00	1.09078	1.09078	1.09061	1.09063	113	0	10
2024.03.04	02:14:00	1.09063	1.09065	1.09053	1.09058	148	0	9
2024.03.04	02:15:00	1.09058	1.09061	1.09043	1.09048	80	0	10
2024.03.04	02:16:00	1.09048	1.09058	1.09043	1.09047	69	0	10
2024.03.04	02:17:00	1.09047	1.09056	1.09036	1.09037	38	0	9
2024.03.04	02:18:00	1.09037	1.09039	1.09023	1.09034	148	0	9
2024.03.04	02:19:00	1.09034	1.09039	1.09032	1.09034	123	0	10
2024.03.04	02:20:00	1.09034	1.09042	1.09029	1.09039	31	0	10
2024.03.04	02:21:00	1.09039	1.09045	1.09034	1.09045	153	0	9
2024.03.04	02:22:00	1.09045	1.09066	1.09040	1.09060	142	0	9
2024.03.04	02:23:00	1.09060	1.09070	1.09056	1.09066	23	0	10
2024.03.04	02:24:00	1.09066	1.09081	1.09056	1.09061	169	0	9
2024.03.04	02:25:00	1.09061	1.09082	1.09054	1.09071	106	0	10
2024.03.04	02:26:00	1.09071	1.09076	1.09059	1.09063	13	0	9
2024.03.04	02:27:00	1.09063	1.09092	1.09061	1.09083	129	0	11
2024.03.04	02:28:00	1.09083	1.09083	1.09066	1.09078	143	0	10
2024.03.04	02:29:00	1.09078	1.09082	1.09065	1.09066	35	0	9
2024.03.04	02:30:00	1.09066	1.09080	1.09060	1.09074	173	0	10
2024.03.04	02:31:00	1.09074	1.09083	1.09043	1.09048	8	0	9
2024.03.04	02:32:00	1.09048	1.09064	1.09045	1.09051	40	0	12
2024.03.04	02:33:00	1.09051	1.09051	1.09034	1.09043	36	0	8
2024.03.04	02:34:00	1.09043	1.09059	1.09038	1.09056	65	0	11
2024.03.04	02:35:00	1.09056	1.09063	1.09050	1.09050	125	0	10
2024.03.04	02:36:00	1.09050	1.09069	1.09045	1.09067	68	0	11
2024.03.04	02:37:00	1.09067	1.09067	1.09043	1.09058	174	0	10
2024.03.04	02:38:00	1.09058	1.09066	1.09052	1.09065	28	0	10
2024.03.04	02:39:00	1.09065	1.09066	1.09048	1.09054	102	0	9
2024.03.04	02:40:00	1.09054	1.09054	1.09035	1.09036	109	0	9
2024.03.04	02:41:00	1.09036	1.09041	1.09025	1.09025	137	0	8
2024.03.04	02:42:00	1.09025	1.09049	1.09021	1.09034	67	0	10
2024.03.04	02:43:00	1.09034	1.09057	1.09024	1.09055	83	0	8
2024.03.04	02:44:00	1.09055	1.09070	1.09053	1.09068	114	0	12
2024.03.04	02:45:00	1.09068	1.09084	1.09065	1.09076	108	0	8
2024.03.04	02:46:00	1.09076	1.09099	1.09075	1.09083	23	0	9
2024.03.04	02:47:00	1.09083	1.09096	1.09075	1.09086	88	0	12
2024.03.04	02:48:00	1.09086	1.09092	1.09084	1.09090	175	0	11
2024.03.04	02:49:00	1.09090	1.09097	1.09088	1.09097	178	0	12
2024.03.04	02:50:00	1.09097	1.09101	1.09087	1.09089	8	0	8
2024.03.04	02:51:00	1.09089	1.09096	1.09084	1.09095	39	0	11
2024.03.04	02:52:00	1.09095	1.09104	1.09088	1.09103	118	0	8
2024.03.04	02:53:00	1.09103	1.09126	1.09101	1.09120	103	0	11
2024.03.04	02:54:00	1.09120	1.09129	1.09112	1.09127	15	0	12
2024.03.04	02:55:00	1.09127	1.09155	1.09121	1.09146	111	0	8
2024.03.04	02:56:00	1.09146	1.09151	1.09135	1.09136	57	0	12
2024.03.04	02:57:00	1.09136	1.09144	1.09129	1.09132	100	0	10
2024.03.04	02:58:00	1.09132	1.09145	1.09107	1.09117	89	0	10
2024.03.04	02:59:00	1.09117	1.09125	1.09108	1.09122	160	0	12
2024.03.04	03:00:00	1.09122	1.09127	1.09121	1.09126	127	0	10
2024.03.04	03:01:00	1.09126	1.09129	1.09108	1.09121	134	0	9
2024.03.04	03:02:00	1.09121	1.09130	1.09118	1.09128	46	0	11
2024.03.04	03:03:00	1.09128	1.09129	1.09097	1.09109	125	0	10
2024.03.04	03:04:00	1.09109	1.09120	1.09103	1.09112	48	0	9
2024.03.04	03:05:00	1.09112	1.09119	1.09106	1.09111	131	0	11
2024.03.04	03:06:00	1.09111	1.09112	1.09101	1.09104	26	0	10
2024.03.04	03:07:00	1.09104	1.09110	1.09101	1.09107	115	0	10
2024.03.04	03:08:00	1.09107	1.09140	1.09106	1.09139	125	0	11
2024.03.04	03:09:00	1.09139	1.09148	1.09136	1.09145	145	0	12
2024.03.04	03:10:00	1.09145	1.09156	1.09144	1.09146	76	0	10
2024.03.04	03:11:00	1.09146	1.09155	1.09141	1.09155	120	0	9
2024.03.04	03:12:00	1.09155	1.09162	1.09152	1.09158	56	0	10
2024.03.04	03:13:00	1.09158	1.09188	1.09156	1.09184	70	0	11
2024.03.04	03:14:00	1.09184	1.09185	1.09162	1.09167	17	0	8
2024.03.04	03:15:00	1.09167	1.09187	1.09167	1.09175	67	0	10
2024.03.04	03:16:00	1.09175	1.09179	1.09174	1.09178	56	0	11
2024.03.04	03:17:00	1.09178	1.09192	1.09177	1.09184	27	0	10
2024.03.04	03:18:00	1.09184	1.09184	1.09169	1.09177	178	0	8
2024.03.04	03:19:00	1.09177	1.09183	1.09159	1.09164	166	0	10
2024.03.04	03:20:00	1.09164	1.09172	1.09161	1.09166	73	0	8
2024.03.04	03:21:00	1.09166	1.09179	1.09161	1.09172	60	0	8
2024.03.04	03:22:00	1.09172	1.09183	1.09166	1.09177	27	0	9
2024.03.04	03:23:00	1.09177	1.09196	1.09176	1.09189	131	0	8
2024.03.04	03:24:00	1.09189	1.09195	1.09169	1.09171	144	0	8
2024.03.04	03:25:00	1.09171	1.09174	1.09160	1.09165	77	0	10
2024.03.04	03:26:00	1.09165	1.09184	1.09163	1.09183	153	0	10
2024.03.04	03:27:00	1.09183	1.09186	1.09182	1.09185	101	0	12
2024.03.04	03:28:00	1.09185	1.09200	1.09185	1.09191	48	0	10
2024.03.04	03:29:00	1.09191	1.09194	1.09189	1.09192	155	0	10
2024.03.04	03:30:00	1.09192	1.09193	1.09177	1.09185	172	0	10
2024.03.04	03:31:00	1.09185	1.09193	1.09181	1.09186	102	0	12
2024.03.04	03:32:00	1.09186	1.09186	1.09177	1.09179	25	0	8
2024.03.04	03:33:00	1.09179	1.09200	1.09172	1.09193	58	0	10
2024.03.04	03:34:00	1.09193	1.09223	1.09186	1.09213	21	0	11
2024.03.04	03:35:00	1.09213	1.09218	1.09208	1.09211	166	0	12
2024.03.04	03:36:00	1.09211	1.09217	1.09210	1.09214	111	0	11
2024.03.04	03:37:00	1.09214	1.09220	1.09197	1.09206	54	0	11
2024.03.04	03:38:00	1.09206	1.09214	1.09200	1.09208	39	0	9
2024.03.04	03:39:00	1.09208	1.09208	1.09197	1.09207	57	0	8
2024.03.04	03:40:00	1.09207	1.09232	1.09203	1.09224	90	0	8
2024.03.04	03:41:00	1.09224	1.09229	1.09204	1.09208	168	0	10
2024.03.04	03:42:00	1.09208	1.09212	1.09202	1.09202	102	0	10
2024.03.04	03:43:00	1.09202	1.09218	1.09202	1.09214	8	0	11
2024.03.04	03:44:00	1.09214	1.09228	1.09206	1.09227	125	0	9
2024.03.04	03:45:00	1.09227	1.09234	1.09221	1.09232	25	0	9
2024.03.04	03:46:00	1.09232	1.09236	1.09223	1.09225	176	0	8
2024.03.04	03:47:00	1.09225	1.09228	1.09211	1.09212	88	0	12
2024.03.04	03:48:00	1.09212	1.09212	1.09202	1.09208	42	0	8
2024.03.04	03:49:00	1.09208	1.09220	1.09192	1.09208	36	0	9
2024.03.04	03:50:00	1.09208	1.09234	1.09205	1.09225	50	0	12
2024.03.04	03:51:00	1.09225	1.09249	1.09212	1.09246	24	0	10
2024.03.04	03:52:00	1.09246	1.09249	1.09235	1.09239	124	0	9
2024.03.04	03:53:00	1.09239	1.09254	1.09224	1.09254	130	0	9
2024.03.04	03:54:00	1.09254	1.09259	1.09240	1.09240	58	0	9
2024.03.04	03:55:00	1.09240	1.09259	1.09235	1.09252	79	0	12
2024.03.04	03:56:00	1.09252	1.09257	1.09246	1.09247	143	0	8
2024.03.04	03:57:00	1.09247	1.09251	1.09234	1.09238	123	0	11
2024.03.04	03:58:00	1.09238	1.09239	1.09216	1.09220	145	0	12
2024.03.04	03:59:00	1.09220	1.09226	1.09206	1.09214	103	0	10
2024.03.04	04:00:00	1.09214	1.09218	1.09203	1.09206	28	0	10
2024.03.04	04:01:00	1.09206	1.09216	1.09198	1.09215	20	0	10
2024.03.04	04:02:00	1.09215	1.09223	1.09204	1.09219	157	0	12
2024.03.04	04:03:00	1.09219	1.09227	1.09187	1.09193	16	0	9
2024.03.04	04:04:00	1.09193	1.09210	1.09186	1.09203	20	0	9
2024.03.04	04:05:00	1.09203	1.09217	1.09202	1.09209	19	0	8
2024.03.04	04:06:00	1.09209	1.09227	1.09207	1.09224	144	0	9
2024.03.04	04:07:00	1.09224	1.09242	1.09221	1.09238	42	0	9
2024.03.04	04:08:00	1.09238	1.09246	1.09222	1.09223	70	0	12
2024.03.04	04:09:00	1.09223	1.09227	1.09221	1.09225	171	0	9
2024.03.04	04:10:00	1.09225	1.09247	1.09221	1.09239	10	0	8
2024.03.04	04:11:00	1.09239	1.09249	1.09233	1.09244	97	0	11
2024.03.04	04:12:00	1.09244	1.09249	1.09227	1.09236	71	0	9
2024.03.04	04:13:00	1.09236	1.09237	1.09227	1.09228	144	0	8
2024.03.04	04:14:00	1.09228	1.09230	1.09211	1.09221	11	0	11
2024.03.04	04:15:00	1.09221	1.09242	1.09217	1.09228	44	0	10
2024.03.04	04:16:00	1.09228	1.09241	1.09219	1.09233	164	0	9
2024.03.04	04:17:00	1.09233	1.09235	1.09232	1.09232	168	0	8
2024.03.04	04:18:00	1.09232	1.09251	1.09225	1.09251	104	0	10
2024.03.04	04:19:00	1.09251	1.09253	1.09244	1.09253	175	0	10
2024.03.04	04:20:00	1.09253	1.09289	1.09252	1.09271	39	0	10
2024.03.04	04:21:00	1.09271	1.09299	1.09262	1.09288	75	0	12
2024.03.04	04:22:00	1.09288	1.09307	1.09284	1.09304	141	0	10
2024.03.04	04:23:00	1.09304	1.09308	1.09275	1.09288	63	0	8
2024.03.04	04:24:00	1.09288	1.09291	1.09288	1.09290	59	0	9
2024.03.04	04:25:00	1.09290	1.09299	1.09285	1.09299	107	0	10
2024.03.04	04:26:00	1.09299	1.09302	1.09282	1.09290	178	0	11
2024.03.04	04:27:00	1.09290	1.09301	1.09266	1.09268	9	0	8
2024.03.04	04:28:00	1.09268	1.09272	1.09245	1.09250	62	0	10
2024.03.04	04:29:00	1.09250	1.09252	1.09244	1.09246	51	0	9
2024.03.04	04:30:00	1.09246	1.09253	1.09243	1.09252	44	0	12
2024.03.04	04:31:00	1.09252	1.09254	1.09247	1.09247	172	0	12
2024.03.04	04:32:00	1.09247	1.09252	1.09236	1.09251	101	0	9
2024.03.04	04:33:00	1.09251	1.09263	1.09241	1.09258	178	0	8
2024.03.04	04:34:00	1.09258	1.09280	1.09257	1.09273	71	0	9
2024.03.04	04:35:00	1.09273	1.09273	1.09260	1.09262	170	0	8
2024.03.04	04:36:00	1.09262	1.09278	1.09261	1.09270	33	0	12
2024.03.04	04:37:00	1.09270	1.09276	1.09265	1.09275	116	0	10
2024.03.04	04:38:00	1.09275	1.09285	1.09273	1.09284	102	0	10
2024.03.04	04:39:00	1.09284	1.09304	1.09276	1.09303	129	0	10
2024.03.04	04:40:00	1.09303	1.09304	1.09296	1.09301	33	0	10
2024.03.04	04:41:00	1.09301	1.09310	1.09301	1.09308	152	0	9
2024.03.04	04:42:00	1.09308	1.09319	1.09299	1.09303	119	0	8
2024.03.04	04:43:00	1.09303	1.09308	1.09298	1.09299	21	0	8
2024.03.04	04:44:00	1.09299	1.09301	1.09292	1.09296	134	0	11
2024.03.04	04:45:00	1.09296	1.09302	1.09266	1.09275	74	0	11
2024.03.04	04:46:00	1.09275	1.09286	1.09273	1.09284	135	0	9
2024.03.04	04:47:00	1.09284	1.09309	1.09279	1.09302	28	0	10
2024.03.04	04:48:00	1.09302	1.09315	1.09300	1.09306	99	0	8
2024.03.04	04:49:00	1.09306	1.09311	1.09287	1.09290	30	0	10
2024.03.04	04:50:00	1.09290	1.09293	1.09289	1.09292	147	0	11
2024.03.04	04:51:00	1.09292	1.09309	1.09277	1.09301	169	0	9
2024.03.04	04:52:00	1.09301	1.09308	1.09293	1.09307	162	0	12
2024.03.04	04:53:00	1.09307	1.09315	1.09295	1.09297	141	0	9
2024.03.04	04:54:00	1.09297	1.09311	1.09292	1.09306	126	0	10
2024.03.04	04:55:00	1.09306	1.09308	1.09298	1.09302	67	0	9
2024.03.04	04:56:00	1.09302	1.09309	1.09291	1.09293	76	0	10
2024.03.04	04:57:00	1.09293	1.09293	1.09269	1.09280	166	0	9
2024.03.04	04:58:00	1.09280	1.09296	1.09274	1.09275	97	0	9
2024.03.04	04:59:00	1.09275	1.09276	1.09244	1.09259	74	0	12
2024.03.04	05:00:00	1.09259	1.09266	1.09257	1.09266	46	0	9
2024.03.04	05:01:00	1.09266	1.09269	1.09250	1.09259	119	0	10
2024.03.04	05:02:00	1.09259	1.09273	1.09256	1.09265	107	0	10
2024.03.04	05:03:00	1.09265	1.09276	1.09264	1.09270	119	0	12
2024.03.04	05:04:00	1.09270	1.09293	1.09270	1.09276	73	0	11
2024.03.04	05:05:00	1.09276	1.09278	1.09275	1.09278	70	0	10
2024.03.04	05:06:00	1.09278	1.09286	1.09266	1.09273	178	0	12
2024.03.04	05:07:00	1.09273	1.09280	1.09244	1.09254	172	0	12
2024.03.04	05:08:00	1.09254	1.09256	1.09246	1.09247	118	0	10
2024.03.04	05:09:00	1.09247	1.09254	1.09238	1.09253	115	0	9
2024.03.04	05:10:00	1.09253	1.09266	1.09250	1.09257	116	0	10
2024.03.04	05:11:00	1.09257	1.09265	1.09248	1.09250	112	0	11
2024.03.04	05:12:00	1.09250	1.09262	1.09233	1.09237	10	0	10
2024.03.04	05:13:00	1.09237	1.09259	1.09226	1.09253	35	0	8
2024.03.04	05:14:00	1.09253	1.09257	1.09250	1.09253	59	0	11
2024.03.04	05:15:00	1.09253	1.09260	1.09215	1.09224	124	0	11
2024.03.04	05:16:00	1.09224	1.09235	1.09213	1.09228	102	0	11
2024.03.04	05:17:00	1.09228	1.09235	1.09220	1.09230	124	0	9
2024.03.04	05:18:00	1.09230	1.09238	1.09216	1.09238	165	0	10
2024.03.04	05:19:00	1.09238	1.09241	1.09233	1.09236	105	0	10
2024.03.04	05:20:00	1.09236	1.09241	1.09229	1.09240	180	0	10
2024.03.04	05:21:00	1.09240	1.09243	1.09230	1.09231	85	0	12
2024.03.04	05:22:00	1.09231	1.09240	1.09188	1.09207	108	0	10
2024.03.04	05:23:00	1.09207	1.09208	1.09197	1.09200	25	0	12
2024.03.04	05:24:00	1.09200	1.09214	1.09198	1.09206	45	0	10
2024.03.04	05:25:00	1.09206	1.09212	1.09174	1.09184	113	0	10
2024.03.04	05:26:00	1.09184	1.09204	1.09178	1.09204	128	0	10
2024.03.04	05:27:00	1.09204	1.09205	1.09183	1.09187	104	0	12
2024.03.04	05:28:00	1.09187	1.09193	1.09187	1.09187	79	0	10
2024.03.04	05:29:00	1.09187	1.09188	1.09182	1.09188	130	0	10
2024.03.04	05:30:00	1.09188	1.09192	1.09170	1.09173	85	0	10
2024.03.04	05:31:00	1.09173	1.09184	1.09159	1.09163	91	0	9
2024.03.04	05:32:00	1.09163	1.09164	1.09144	1.09152	61	0	8
2024.03.04	05:33:00	1.09152	1.09155	1.09139	1.09143	33	0	11
2024.03.04	05:34:00	1.09143	1.09151	1.09142	1.09148	47	0	9
2024.03.04	05:35:00	1.09148	1.09157	1.09131	1.09137	50	0	11
2024.03.04	05:36:00	1.09137	1.09155	1.09135	1.09150	148	0	12
2024.03.04	05:37:00	1.09150	1.09152	1.09130	1.09133	62	0	11
2024.03.04	05:38:00	1.09133	1.09158	1.09132	1.09153	38	0	10
2024.03.04	05:39:00	1.09153	1.09163	1.09143	1.09148	129	0	10
2024.03.04	05:40:00	1.09148	1.09150	1.09127	1.09135	71	0	10
2024.03.04	05:41:00	1.09135	1.09139	1.09118	1.09125	9	0	9
2024.03.04	05:42:00	1.09125	1.09138	1.09117	1.09132	127	0	10
2024.03.04	05:43:00	1.09132	1.09156	1.09113	1.09125	27	0	9
2024.03.04	05:44:00	1.09125	1.09131	1.09106	1.09114	92	0	8
2024.03.04	05:45:00	1.09114	1.09124	1.09114	1.09117	44	0	8
2024.03.04	05:46:00	1.09117	1.09126	1.09115	1.09120	176	0	10
2024.03.04	05:47:00	1.09120	1.09130	1.09111	1.09124	149	0	9
2024.03.04	05:48:00	1.09124	1.09129	1.09122	1.09122	82	0	10
2024.03.04	05:49:00	1.09122	1.09130	1.09116	1.09126	93	0	11
2024.03.04	05:50:00	1.09126	1.09151	1.09124	1.09150	134	0	8
2024.03.04	05:51:00	1.09150	1.09160	1.09145	1.09157	84	0	9
2024.03.04	05:52:00	1.09157	1.09161	1.09142	1.09142	149	0	10
2024.03.04	05:53:00	1.09142	1.09144	1.09138	1.09139	84	0	8
2024.03.04	05:54:00	1.09139	1.09147	1.09132	1.09147	176	0	8
